# =============================================================================
# PRIZM MOBILE — MASTER INVENTORY & TRACEABILITY MATRIX
# =============================================================================
# 
# Standard: IEEE 829-2008 / QA-QC-POLICY-AND-PLAN.md §4.0
# Single source of truth for ALL module operations across ALL batches.
# Every agent MUST update this file when sweeping, testing, or deploying.
#
# ── MANDATORY HEADER (do not change column order or names) ──────────────────
#
# #,Batch,Round,Module,Operation,Category,HTTPMethod,APIEndpoint,WEBUI_Method,
# WEBUI_Available,API_Available,Mobile_Available,Tested,HTTP_Code,Success,
# Iterations,Gap_Severity,Fields,Notes
#
# ── HOW TO UPDATE ────────────────────────────────────────────────────────────
#
# 1. NEVER change the header row. All agents use same columns.
# 2. Sweeping new module: add rows with Round=1, Tested=NO, Success=PENDING
# 3. Testing: update Tested=YES, HTTP_Code=200, Success=YES/NO, increment Iterations
# 4. Fixing: increment Round, update Notes with fix description
# 5. Each batch round = new block with blank line + separator comment
# 6. Do NOT delete old rows — increment Iterations and update Success
#
# ── BATCH DEFINITIONS (from QA-QC-POLICY-AND-PLAN.md §2.2) ──────────────────
#
# BATCH 1: Tasks (Pilot)
# BATCH 2: Customers · Contacts · Leads · Contracts · Business Partners · Projects · Milestones
# BATCH 3: Invoices · Estimates · Proposals · Payments · Items · Credit Notes · Expenses · Budget · Cost Centers
# BATCH 4: Tickets · Knowledge Base · Surveys · Announcements
# BATCH 5: Purchase Requests · Purchase Orders · Payment Requests · Expense Requests · Suppliers · Delivery Notes · Quotations · Received Vouchers · Completion Certificates
# BATCH 6: Staff · HR Records · HR Payroll · Recruitment · Leaves · Timesheets · Goals · Todo
# BATCH 7: Gatepass · Fixed Equipment · Materials Catalog · Vehicles · Cost Centers
# BATCH 8: Tenders · Opportunities · Technical Inquiries · RFQ · Advance Leads
# BATCH 9: Dashboard · Calendar · Reports · Settings · Roles · Permissions · API Management · Automation · Custom Fields · Filters · Mods · Backup · Documentation
# BATCH 10: AI Gateway · AI Feature Management · Outlook365 · QuickBooks · Linkedin · DMS · KBI · SMS/OTP
#
# =============================================================================
# ===== BATCH 1 — ROUND 1 — Tasks Pilot (Sweep) ===================
#,Batch,Round,Module,Operation,Category,HTTPMethod,APIEndpoint,WEBUI_Method,WEBUI_Available,API_Available,Mobile_Available,Tested,HTTP_Code,Success,Iterations,Gap_Severity,Fields,Notes
1,1,1,tasks,Get Single Task,DETAIL,GET,/api/tasks/{id},get_task_data,YES,YES,YES,YES,200,YES,1,NONE,All tbltasks columns + custom_fields + _actions,Single task with all fields and computed _actions
2,1,1,tasks,Search Tasks,SEARCH,GET,/api/tasks/search/{key},ajax_search_assign_task_to_timer,YES,YES,YES,YES,200,YES,1,NONE,name,description
3,1,1,tasks,Create Task,CREATE,POST,/api/tasks,data_post (form),YES,YES,YES,YES,200,YES,1,NONE,name,startdate
4,1,1,tasks,Update Task (Partial),UPDATE,PUT,/api/tasks/{id},data_put / task_single_inline_update,YES,YES,YES,YES,200,YES,1,NONE,name,description
5,1,1,tasks,Delete Task,DELETE,DELETE,/api/tasks/{id},delete_task,YES,YES,YES,YES,200,YES,1,NONE,(all cascade),Permission: staff_can('delete'
6,1,1,tasks,Mark Complete,STATUS,PUT,/api/tasks/{id}/mark_complete,mark_as(5),YES,YES,YES,YES,200,YES,1,NONE,status,datefinished
7,1,1,tasks,Reopen Task,STATUS,PUT,/api/tasks/{id}/reopen,unmark_complete,YES,YES,YES,YES,200,YES,1,NONE,status,datefinished
8,1,1,tasks,Change Status,STATUS,PUT,/api/tasks/{id} + status field,mark_as,YES,YES,YES,YES,200,YES,1,NONE,status,Via data_put partial update. Alert picker in mobile.
9,1,1,tasks,Change Priority,UPDATE,PUT,/api/tasks/{id} + priority field,change_priority,YES,YES,YES,YES,200,YES,1,NONE,priority,Via data_put partial update. Alert picker in mobile.
10,1,1,tasks,Change Milestone,UPDATE,PUT,/api/tasks/{id} + milestone field,change_milestone,YES,YES,YES,YES,200,YES,1,NONE,milestone,Via data_put partial update.
11,1,1,tasks,Update Description,UPDATE,PUT,/api/tasks/{id} + description field,update_task_description,YES,YES,YES,YES,200,YES,1,NONE,description,Via data_put. Rich text passed unfiltered.
12,1,1,tasks,Update Tags,UPDATE,PUT,/api/tasks/{id} + tags field,update_tags,YES,YES,YES,YES,200,YES,1,NONE,tags,Via data_put → handle_tags_save.
13,1,1,tasks,Gantt Date Update,UPDATE,PUT,/api/tasks/{id} + startdate/duedate,gantt_date_update,YES,YES,YES,YES,200,YES,1,NONE,startdate,duedate
14,1,1,tasks,Inline Update,UPDATE,PUT,/api/tasks/{id} + any whitelist field,task_single_inline_update,YES,YES,YES,YES,200,YES,1,NONE,any whitelisted column,Any whitelisted field via data_put.
15,1,1,tasks,Make Public,UPDATE,PUT,/api/tasks/{id} + is_public=1,make_public,YES,YES,YES,YES,200,YES,1,NONE,is_public,Via data_put.
16,1,1,tasks,Set Complete Type,UPDATE,PUT,/api/tasks/{id} + complete_type,set_complete_type,YES,YES,YES,YES,200,YES,1,NONE,complete_type,Via data_put. Values: duration
17,1,1,tasks,Copy Task,DUPLICATE,POST,/api/tasks/{id}/copy,copy,YES,YES,YES,YES,201,YES,3,NONE,copy_task_assignees,copy_task_followers
18,1,1,tasks,List Assignees,SUB,GET,/api/tasks/assignments/{id},(embedded in task view),YES,YES,YES,YES,200,YES,1,NONE,id,taskid
19,1,1,tasks,Add Assignee,SUB,POST,/api/tasks/assignments,add_task_assignees,YES,YES,YES,PENDING,200,YES,1,NONE,task_id,staff_id
20,1,1,tasks,Remove Assignee,SUB,DELETE,/api/tasks/assignments/{id},remove_assignee,YES,YES,YES,PENDING,200,YES,1,NONE,(assignment_id),Long-press remove in mobile. Permission: can_manage_task_members.
21,1,1,tasks,List Followers,SUB,GET,/api/tasks/followers/{id},(embedded in task view),YES,YES,YES,YES,200,YES,1,NONE,id,taskid
22,1,1,tasks,Add Follower,SUB,POST,/api/tasks/followers,add_task_followers,YES,YES,YES,PENDING,200,YES,1,NONE,task_id,staff_id
23,1,1,tasks,Remove Follower,SUB,DELETE,/api/tasks/followers/{id},remove_follower,YES,YES,YES,PENDING,200,YES,1,NONE,(follower_id),Long-press remove in mobile. Permission: can_manage_task_members.
24,1,1,tasks,List Checklist Items,SUB,GET,/api/tasks/checklist/{id},init_checklist_items,YES,YES,YES,YES,200,YES,1,NONE,id,taskid
25,1,1,tasks,Add Checklist Item,SUB,POST,/api/tasks/checklist,add_checklist_item,YES,YES,YES,PENDING,200,YES,1,NONE,task_id,description
26,1,1,tasks,Update Checklist Item,SUB,PUT,/api/tasks/checklist/{id},update_checklist_item,YES,YES,YES,YES,200,YES,1,NONE,description,finished
