#,Module,Operation,Category,HTTPMethod,APIEndpoint,WEBUI_Method,WEBUI_Available,API_Available,Mobile_Available,Tested,Success,Fields,Notes

PROJECTS,,,,,,,,,,,,
1,projects,List Projects,LIST,GET,/api/projects?limit=&offset=,index,YES,YES,YES,NO,PENDING,"id,name,client_id,status,start_date,dead_date,members,progress","data_get paginated list"
2,projects,Get Single Project,DETAIL,GET,/api/projects/{id},view,YES,YES,YES,NO,PENDING,"All tblprojects columns + settings","data_get single with custom data"
3,projects,Search Projects,SEARCH,GET,/api/projects/search/{key},(via index),YES,YES,YES,NO,PENDING,name,description,"data_search_get"
4,projects,Create Project,CREATE,POST,/api/projects,project,YES,YES,YES,NO,PENDING,"name,client_id,start_date,dead_date,status,billing_type,members,settings","data_post"
5,projects,Update Project,UPDATE,PUT,/api/projects/{id},project,YES,YES,YES,NO,PENDING,"All updatable project fields","data_put partial update"
6,projects,Delete Project,DELETE,DELETE,/api/projects/{id},delete,YES,YES,YES,NO,PENDING,"(cascade)","data_delete"
7,projects,Project Count,VALIDATE,GET,/api/projects/count,count_get,YES,YES,YES,NO,PENDING,"status filter","Count endpoint exists"
8,projects,Mark Finished,STATUS,PUT,/api/projects/{id}/mark_finished,mark_as(finished),YES,YES,YES,NO,PENDING,status,"mark_finished_put"
9,projects,Mark On Hold,STATUS,PUT,/api/projects/{id}/mark_on_hold,mark_as(on_hold),YES,YES,YES,NO,PENDING,status,"mark_on_hold_put"
10,projects,Mark In Progress,STATUS,PUT,/api/projects/{id}/mark_in_progress,mark_as(in_progress),YES,YES,YES,NO,PENDING,status,"mark_in_progress_put"
11,projects,Mark Cancelled,STATUS,PUT,/api/projects/{id}/mark_cancelled,mark_as(cancelled),YES,YES,YES,NO,PENDING,status,"mark_cancelled_put"
12,projects,Project Table View,LIST,GET,/api/projects?limit=&offset=,table,YES,YES,YES,NO,PENDING,"all list fields","Same as list"
13,projects,List Milestones,SUB,GET,N/A,milestones,YES,NO,NO,NO,PENDING,"id,name,project_id,due_date,color","GAP: No milestones_get endpoint"
14,projects,Create Milestone,SUB,POST,N/A,milestone,YES,NO,NO,NO,PENDING,"name,project_id,due_date,description","GAP: No endpoint"
15,projects,Update Milestone,SUB,PUT,N/A,milestone,YES,NO,NO,NO,PENDING,"name,color,due_date,description","GAP: No endpoint"
16,projects,Delete Milestone,SUB,DELETE,N/A,delete_milestone,YES,NO,NO,NO,PENDING,"(milestone_id)","GAP: No endpoint"
17,projects,Milestone Kanban,VIEW,GET,N/A,milestones_kanban,YES,NO,NO,NO,PENDING,"milestone_id,project_id","GAP: No endpoint"
18,projects,Milestone Reorder,REORDER,PUT,N/A,update_milestones_order,YES,NO,NO,NO,PENDING,"order data","GAP: No endpoint"
19,projects,Change Milestone Color,UPDATE,PUT,N/A,change_milestone_color,YES,NO,NO,NO,PENDING,"color","GAP: No endpoint"
