Controller,Module,Method,Type,MobileEndpoint,MobileStatus,Note,ERP_Path
Ag_column_settings,ag_column_settings,save_column_widths,ACTION,NONE,GAP,"",admin/Ag_column_settings/save_column_widths
Ag_column_settings,ag_column_settings,get_column_widths,VALIDATE,NONE,GAP,"",admin/Ag_column_settings/get_column_widths
Ag_column_settings,ag_column_settings,reset_columns,ACTION,NONE,GAP,"",admin/Ag_column_settings/reset_columns
Ai,ai,text_enhancement,ACTION,NONE,GAP,"",admin/Ai/text_enhancement
Ai_tickets,ai_tickets,summarize_ticket,ACTION,NONE,GAP,"",admin/Ai_tickets/summarize_ticket
Ai_tickets,ai_tickets,suggest_reply,ACTION,NONE,GAP,"",admin/Ai_tickets/suggest_reply
Announcements,announcements,index,LIST,NONE,GAP,"",admin/Announcements/index
Announcements,announcements,announcement,ACTION,NONE,GAP,"",admin/Announcements/announcement
Announcements,announcements,view,DETAIL,NONE,GAP,"",admin/Announcements/view
Announcements,announcements,delete,DELETE,NONE,GAP,"",admin/Announcements/delete
Authentication,authentication,index,LIST,NONE,GAP,"",admin/Authentication/index
Authentication,authentication,admin,ACTION,NONE,GAP,"",admin/Authentication/admin
Authentication,authentication,two_factor,ACTION,NONE,GAP,"",admin/Authentication/two_factor
Authentication,authentication,forgot_password,ACTION,NONE,GAP,"",admin/Authentication/forgot_password
Authentication,authentication,reset_password,ACTION,NONE,GAP,"",admin/Authentication/reset_password
Authentication,authentication,set_password,ACTION,NONE,GAP,"",admin/Authentication/set_password
Authentication,authentication,logout,ACTION,NONE,GAP,"",admin/Authentication/logout
Authentication,authentication,email_exists,ACTION,NONE,GAP,"",admin/Authentication/email_exists
Authentication,authentication,recaptcha,ACTION,NONE,GAP,"",admin/Authentication/recaptcha
Authentication,authentication,get_qr,VALIDATE,NONE,GAP,"",admin/Authentication/get_qr
Auto_update,auto_update,index,LIST,NONE,GAP,"",admin/Auto_update/index
Auto_update,auto_update,database,TAB,NONE,GAP,"",admin/Auto_update/database
Bug,bug,index,LIST,NONE,GAP,"",admin/Bug/index
Bug,bug,bug_table,TAB,NONE,GAP,"",admin/Bug/bug_table
Bug,bug,addbug,ACTION,NONE,GAP,"",admin/Bug/addbug
Bug,bug,bugdisscussion,ACTION,NONE,GAP,"",admin/Bug/bugdisscussion
Bug,bug,file,ACTION,NONE,GAP,"",admin/Bug/file
Bug,bug,get_staff_names_for_mentions,VALIDATE,NONE,GAP,"",admin/Bug/get_staff_names_for_mentions
Bug,bug,get_bug_comments,VALIDATE,NONE,GAP,"",admin/Bug/get_bug_comments
Bug,bug,add_bug_comment,ACTION,NONE,GAP,"",admin/Bug/add_bug_comment
Bug,bug,update_bug_comment,ACTION,NONE,GAP,"",admin/Bug/update_bug_comment
Bug,bug,delete_bug_comment,DELETE,NONE,GAP,"",admin/Bug/delete_bug_comment
Bug,bug,soft_delete,ACTION,NONE,GAP,"",admin/Bug/soft_delete
Clients,customers,index,LIST,customers,YES,"",admin/Clients/index
Clients,customers,table,LIST,customers,YES,"",admin/Clients/table
Clients,customers,all_contacts,LIST,customers,YES,"",admin/Clients/all_contacts
Clients,customers,client,CREATE,POST customers,YES,"Create/Edit customer",admin/Clients/client
Clients,customers,export,EXPORT,customers,GAP,"",admin/Clients/export
Clients,customers,check_duplicate_customer_name,ACTION,customers,GAP,"",admin/Clients/check_duplicate_customer_name
Clients,customers,save_longitude_and_latitude,ACTION,customers,GAP,"",admin/Clients/save_longitude_and_latitude
Clients,customers,form_contact,MODAL,POST contacts,GAP,"Create/Edit contact",admin/Clients/form_contact
Clients,customers,confirm_registration,ACTION,POST customers/{id}/confirm,YES,"Confirm registration",admin/Clients/confirm_registration
Clients,customers,update_file_share_visibility,ACTION,PUT files/{id}/visibility,YES,"File share visibility",admin/Clients/update_file_share_visibility
Clients,customers,delete_contact_profile_image,DELETE,customers,YES,"",admin/Clients/delete_contact_profile_image
Clients,customers,mark_as_active,ACTION,PUT customers/{id}/mark_active,GAP,"Activate customer",admin/Clients/mark_as_active
Clients,customers,consents,TAB,customers,GAP,"",admin/Clients/consents
Clients,customers,update_all_proposal_emails_linked_to_customer,ACTION,customers,GAP,"",admin/Clients/update_all_proposal_emails_linked_to_customer
Clients,customers,assign_admins,ACTION,POST customers/{id}/admins,YES,"Assign admin",admin/Clients/assign_admins
Clients,customers,delete_customer_admin,DELETE,DELETE customers/{id}/admins/{staff_id},YES,"Remove admin",admin/Clients/delete_customer_admin
Clients,customers,delete_contact,DELETE,DELETE contacts/{id},YES,"Delete contact",admin/Clients/delete_contact
Clients,customers,contacts,TAB,customers,GAP,"",admin/Clients/contacts
Clients,customers,upload_attachment,UPLOAD,POST files/upload_bytes,YES,"Upload attachment",admin/Clients/upload_attachment
Clients,customers,add_external_attachment,UPLOAD,POST files/external,YES,"Add external attachment",admin/Clients/add_external_attachment
Clients,customers,delete_attachment,DELETE,DELETE files/{id},YES,"Delete attachment",admin/Clients/delete_attachment
Clients,customers,delete,DELETE,DELETE customers/{id},YES,"Delete customer",admin/Clients/delete
Clients,customers,login_as_client,ACTION,customers,GAP,"",admin/Clients/login_as_client
Clients,customers,get_customer_billing_and_shipping_details,VALIDATE,GET customers/{id}/address,YES,"Billing/shipping",admin/Clients/get_customer_billing_and_shipping_details
Clients,customers,change_contact_status,ACTION,PUT contacts/{id}/status,GAP,"Change contact status",admin/Clients/change_contact_status
