Module,Group,ListGET,ListStatus,DetailGET,DetailStatus,CreatePOST,CreateStatus,UpdatePUT,UpdateStatus,DeleteDEL,DeleteStatus,Actions,Notes
customers,CRM,166,200,76,200,93,200,,,,,"","List+Detail+Create+Update+Delete"
contacts,CRM,87,404,,,79,409,,,,,"","List+Detail+Create+Update+Delete"
leads,CRM,2155,500,,,130,200,,,,,"","List+Detail+Create+Update+Delete"
contracts,CRM,129,200,109,200,97,200,,,,,"Sign:200","List+Detail+Create+Update+Delete"
business_partners,CRM,87,200,74,200,84,201,74,405,76,405,"","List+Detail+Create+Update+Delete | Created#true"
invoices,Sales,114,200,83,200,87,404,,,,,"Send:200; MarkCancelled:200","List+Detail+Create+Update+Delete"
estimates,Sales,78,200,85,200,95,404,,,,,"Send:200; MarkSent:200","List+Detail+Create+Update+Delete"
proposals,Sales,123,200,92,200,68,404,,,,,"Send:500; MarkSent:200","List+Detail+Create+Update+Delete | Send:500"
payments,Sales,84,200,74,200,78,409,,,,,"","List+Detail+Create+Update+Delete"
items,Sales,109,200,77,200,75,405,,,,,"","List+Detail+Create+Update+Delete"
credit_notes,Sales,67,404,,,64,404,,,,,"","List+Detail+Create+Update+Delete"
projects,Work,260,200,77,200,152,200,,,,,"MarkInProgress:200; MarkFinished:200","List+Detail+Create+Update+Delete"
tasks,Work,66,401,,,93,401,,,,,"","List+Detail+Create+Update+Delete. KNOWN 401 on list."
milestones,Work,79,200,90,200,74,404,,,,,"","List+Detail+Create+Update+Delete"
calendar,Work,72,404,,,74,404,,,,,"","List+Detail+Create+Update+Delete"
goals,Work,70,200,68,200,71,500,,,,,"MarkComplete:500","List+Detail+Create+Update+Delete | MarkComplete:500"
timesheets,Work,82,200,95,200,78,500,,,,,"","List+Detail+Create+Update+Delete"
expenses,Finance,80,200,98,200,75,409,,,,,"MarkBillable:200; Copy:200","List+Detail+Create+Update+Delete"
budget_items,Finance,79,200,103,200,71,400,,,,,"Approve:400","List+Detail+Create+Update+Delete | Approve:400"
cost_centers,Finance,108,200,84,200,68,500,,,,,"","List+Detail+Create+Update+Delete"
tickets,Support,337,500,,,94,404,,,,,"","List+Detail+Create+Update+Delete"
knowledge,Support,75,200,100,200,89,500,,,,,"Publish:200; Unpublish:200","List+Detail+Create+Update+Delete"
surveys,Support,82,200,,,127,500,,,,,"","List+Detail+Create+Update+Delete"
purchase_vendors,Purchase,92,200,104,200,76,201,93,200,139,200,"","List+Detail+Create+Update+Delete | Created#4832 | Deleted"
purchase_requests,Purchase,90,401,,,96,401,,,,,"","KNOWN 401 on list. Create+Update+Delete if list works."
purchase_orders,Purchase,75,401,,,98,401,,,,,"","KNOWN 401 on list."
purchase_payment_requests,Purchase,86,401,,,,,,,,,"","Read-only. KNOWN 401."
purchase_expense_requests,Purchase,84,401,,,,,,,,,"","Read-only. KNOWN 401."
purchase_received_vouchers,Purchase,71,200,91,200,,,,,,,"Approve:401; Reject:400","Read-only. | Approve:401 | Reject:400"
purchase_delivery_notes,Purchase,97,200,100,200,,,,,,,"Approve:401","Read-only. | Approve:401"
purchase_quotations,Purchase,69,200,77,200,,,,,,,"Approve:401","Read-only. | Approve:401"
purchase_completion_certificates,Purchase,91,200,92,200,,,,,,,"Approve:401","Read-only. | Approve:401"
technical_inquiries,PRIZM,74,200,72,200,79,400,,,,,"","List+Detail+Create+Update+Delete"
tenders,PRIZM,98,200,69,200,79,500,,,,,"MarkWon:500; ChangeStatus:500","List+Detail+Create+Update+Delete | MarkWon:500 | ChangeStatus:500"
opportunities,PRIZM,98,200,,,121,500,,,,,"","List+Detail+Create+Update+Delete"
recruitment_candidates,HR,81,500,,,112,201,100,500,86,405,"","List+Detail+Create+Update+Delete | Created#329"
recruitment_positions,HR,65,500,,,84,201,75,200,91,200,"","List+Detail+Create+Update+Delete | Created#13 | Deleted"
hr_payslips,HR,98,200,92,200,94,400,,,,,"MarkPaid:200","List+Detail+Create+Update+Delete"
gatepass,Operations,69,500,,,100,500,,,,,"","List+Detail+Create+Update+Delete"
fixed_equipment,Operations,92,500,,,91,500,,,,,"","List+Detail+Create+Update+Delete"
materials,Inventory,95,200,99,200,70,400,,,,,"","List+Detail+Create+Update+Delete"
staff,Admin,76,200,86,200,90,404,,,,,"","List+Detail+Create+Update+Delete"
automation,Admin,94,200,91,500,71,201,91,200,76,200,"","List+Detail+Create+Update+Delete — only module with full CRUD passing | Created#4 | Deleted"
otpmanager,Admin,69,404,,,66,400,,,,,"","List+Detail+Create+Update+Delete"
TOTAL_OPS:142,PASS:83,FAIL:59,58%,,,,,,,,,,
