Module,Group,Screen,AddBtn,EditBtn,DelBtn,ListGET(ms),ListStatus,DetailGET(ms),DetailStatus,CreatePOST(ms),CreateStatus,UpdatePUT(ms),UpdateStatus,DeleteDEL(ms),DeleteStatus,Notes
customers,CRM,YES,YES,YES,YES,204ms,200,125ms,200,87ms,200,SKIP,-,SKIP,-,"Created #?"
contacts,CRM,ERP_HUB,YES,YES,YES,73ms,404,-,-,-,-,-,-,-,-,"No existing records found — create/detail/update/delete skipped"
leads,CRM,YES,YES,YES,YES,2166ms,500,-,-,-,-,-,-,-,-,"No existing records found — create/detail/update/delete skipped"
contracts,CRM,YES,YES,YES,YES,186ms,200,126ms,200,88ms,200,SKIP,-,SKIP,-,"Created #?"
business_partners,CRM,ERP_HUB,YES,YES,YES,99ms,200,73ms,200,79ms,500,SKIP,-,SKIP,-,"Created #?"
invoices,Sales,YES,YES,YES,YES,110ms,200,146ms,200,68ms,404,SKIP,-,SKIP,-,"Created #?"
estimates,Sales,YES,YES,YES,YES,82ms,200,82ms,200,88ms,404,SKIP,-,SKIP,-,"Created #?"
proposals,Sales,YES,YES,YES,YES,108ms,200,79ms,200,71ms,404,SKIP,-,SKIP,-,"Created #?"
payments,Sales,ERP_HUB,YES,YES,YES,95ms,200,85ms,200,64ms,409,SKIP,-,SKIP,-,"Created #?"
items,Sales,ERP_HUB,YES,YES,YES,122ms,200,79ms,200,68ms,405,SKIP,-,SKIP,-,"Created #?"
credit_notes,Sales,ERP_HUB,YES,YES,YES,85ms,404,-,-,-,-,-,-,-,-,"No existing records found — create/detail/update/delete skipped"
projects,Work,YES,YES,YES,YES,277ms,200,97ms,200,77ms,404,SKIP,-,SKIP,-,"Created #?"
tasks,Work,YES,YES,YES,YES,81ms,401,-,-,-,-,-,-,-,-,"No existing records found — create/detail/update/delete skipped"
milestones,Work,ERP_HUB,YES,YES,YES,132ms,200,73ms,200,88ms,404,SKIP,-,SKIP,-,"Created #?"
calendar,Work,YES,YES,YES,YES,74ms,404,-,-,-,-,-,-,-,-,"No existing records found — create/detail/update/delete skipped"
goals,Work,ERP_HUB,YES,YES,YES,91ms,200,102ms,200,68ms,500,SKIP,-,SKIP,-,"Created #?"
timesheets,Work,YES,YES,YES,YES,67ms,200,87ms,200,68ms,400,SKIP,-,SKIP,-,"Created #?"
expenses,Finance,YES,YES,YES,YES,96ms,200,85ms,200,87ms,409,SKIP,-,SKIP,-,"Created #?"
budget_items,Finance,ERP_HUB,YES,YES,YES,162ms,200,82ms,200,131ms,500,SKIP,-,SKIP,-,"Created #?"
cost_centers,Finance,ERP_HUB,YES,YES,YES,105ms,200,96ms,200,99ms,500,SKIP,-,SKIP,-,"Created #?"
tickets,Support,YES,YES,YES,YES,1082ms,500,-,-,-,-,-,-,-,-,"No existing records found — create/detail/update/delete skipped"
knowledge,Support,YES,YES,YES,YES,111ms,200,82ms,200,72ms,500,SKIP,-,SKIP,-,"Created #?"
surveys,Support,ERP_HUB,YES,YES,YES,84ms,200,-,-,-,-,-,-,-,-,"No existing records found — create/detail/update/delete skipped"
purchase_vendors,Purchase,ERP_HUB,YES,YES,YES,194ms,200,79ms,200,96ms,500,SKIP,-,SKIP,-,"Created #?"
purchase_requests,Purchase,ERP_HUB,YES,YES,YES,86ms,401,-,-,-,-,-,-,-,-,"No existing records found — create/detail/update/delete skipped"
purchase_orders,Purchase,ERP_HUB,YES,YES,YES,72ms,401,-,-,-,-,-,-,-,-,"No existing records found — create/detail/update/delete skipped"
purchase_payment_requests,Purchase,ERP_HUB,NO,NO,NO,67ms,401,-,-,-,-,-,-,-,-,"No existing records found — create/detail/update/delete skipped"
purchase_expense_requests,Purchase,ERP_HUB,NO,NO,NO,85ms,401,-,-,-,-,-,-,-,-,"No existing records found — create/detail/update/delete skipped"
purchase_received_vouchers,Purchase,ERP_HUB,NO,NO,NO,79ms,200,96ms,200,-,-,-,-,-,-,""
purchase_delivery_notes,Purchase,ERP_HUB,NO,NO,NO,102ms,200,91ms,200,-,-,-,-,-,-,""
purchase_quotations,Purchase,ERP_HUB,NO,NO,NO,141ms,200,110ms,200,-,-,-,-,-,-,""
purchase_completion_certificates,Purchase,ERP_HUB,NO,NO,NO,112ms,200,95ms,200,-,-,-,-,-,-,""
technical_inquiries,PRIZM,ERP_HUB,YES,YES,YES,170ms,200,102ms,200,97ms,400,SKIP,-,SKIP,-,"Created #?"
tenders,PRIZM,YES,YES,YES,YES,97ms,200,82ms,200,96ms,500,SKIP,-,SKIP,-,"Created #?"
opportunities,PRIZM,YES,YES,YES,YES,107ms,200,-,-,-,-,-,-,-,-,"No existing records found — create/detail/update/delete skipped"
recruitment_candidates,HR,ERP_HUB,YES,YES,YES,139ms,500,-,-,-,-,-,-,-,-,"No existing records found — create/detail/update/delete skipped"
recruitment_positions,HR,ERP_HUB,YES,YES,YES,96ms,500,-,-,-,-,-,-,-,-,"No existing records found — create/detail/update/delete skipped"
hr_payslips,HR,ERP_HUB,YES,YES,YES,88ms,200,105ms,200,106ms,400,SKIP,-,SKIP,-,"Created #?"
gatepass,Operations,ERP_HUB,YES,YES,YES,98ms,500,-,-,-,-,-,-,-,-,"No existing records found — create/detail/update/delete skipped"
