#,Module,Operation,Category,HTTPMethod,APIEndpoint,WEBUI_Method,WEBUI_Available,API_Available,Mobile_Available,Tested,HTTP_Code,Success,Iterations,Fields_Involved,Notes
1,reports,List All Reports,LIST,GET,/api/reports_api/data,table (AJAX),YES,YES,YES,NO,,PENDING,0,prizm_report.*+projects.name+clients.company+staff.name,"Mobile: useReportsList with project_id/search/status/date_from/date_to filters"
2,reports,List Reports with Project Filter,FILTER,GET,/api/reports_api/data?project_id=,table (AJAX),YES,YES,YES,NO,,PENDING,0,prizm_report.project_id,"Mobile: project picker passes project_id to filters"
3,reports,List Reports with Search,FILTER,GET,/api/reports_api/data?search=,table (AJAX),YES,YES,YES,NO,,PENDING,0,prizm_report.report_code+projects.name+scope_description,"Mobile: search TextInput updates filters.search"
4,reports,List Reports with Status Filter,FILTER,GET,/api/reports_api/data?status=,table (AJAX),YES,YES,NO,NO,,PENDING,0,prizm_report.status,"Mobile: no status filter in UI yet"
5,reports,List Reports with Date Range,FILTER,GET,/api/reports_api/data?date_from=&date_to=,table (AJAX),YES,YES,NO,NO,,PENDING,0,prizm_report.report_date,"Mobile: not exposed in UI"
6,reports,Get Single Report,READ,GET,/api/reports_api/data/{id},update_report (view),YES,YES,YES,NO,,PENDING,0,prizm_report+prizm_report_details+prizm_report_images,"Mobile: useReportDetail(id)"
7,reports,Get Report Projects Dropdown,LIST,GET,/api/reports_api/projects,index (loads projects),YES,YES,YES,NO,,PENDING,0,projects.id+projects.name+clients.company,"Mobile: useReportProjects() for project picker"
8,reports,Create Report,CREATE,POST,/api/reports_api/data,add_report,YES,YES,YES,NO,,PENDING,0,"prizm_report+prizm_report_details (work_done+next_activities)","Mobile: useCreateReport() 6-step wizard"
9,reports,Update Report,UPDATE,PUT,/api/reports_api/data/{id},update_report,YES,YES,YES,NO,,PENDING,0,"prizm_report+prizm_report_details (replace)","Mobile: useUpdateReport() 6-step wizard pre-populated"
10,reports,Delete Report,DELETE,DELETE,/api/reports_api/data/{id},delete_report (AJAX),YES,YES,YES,NO,,PENDING,0,prizm_report.deleteDate,"Mobile: useDeleteReport() with Alert confirmation. Soft delete."
11,reports,Upload Report Images,UPLOAD,POST,/api/reports_api/images/{report_id},upload_image (file),YES,YES,YES,NO,,PENDING,0,prizm_report_images,"Mobile: useUploadReportImages() base64 upload"
12,reports,Delete Report Image,DELETE,DELETE,/api/reports_api/images/{image_id},—,NO,YES,YES,NO,,PENDING,0,prizm_report_images,"Mobile: useDeleteReportImage(). No web UI equivalent."
13,reports,View Report Images / Photo Gallery,READ,GET,/api/reports_api/data/{id} (images array),—,NO,YES,YES,NO,,PENDING,0,prizm_report_images,"Mobile: DetailScreen photo gallery + lightbox"
14,reports,View Work Done Table,READ,GET,/api/reports_api/data/{id} (details),report_pdf (PDF),YES,YES,YES,NO,,PENDING,0,prizm_report_details (type=done),"Mobile: DetailScreen SectionCard work done rows"
15,reports,View Next Activities Table,READ,GET,/api/reports_api/data/{id} (details),report_pdf (PDF),YES,YES,YES,NO,,PENDING,0,prizm_report_details (type=next),"Mobile: DetailScreen SectionCard next activities rows"
16,reports,Add Work Done Items,SUB,POST,/api/reports_api/data (work_done array),add_report,YES,YES,YES,NO,,PENDING,0,prizm_report_details,"Mobile: CreateScreen Step 2 multi-row form"
17,reports,Add Next Activity Items,SUB,POST,/api/reports_api/data (next_activities array),add_report,YES,YES,YES,NO,,PENDING,0,prizm_report_details,"Mobile: CreateScreen Step 3 multi-row form"
18,reports,Edit Work Done Items,SUB,PUT,/api/reports_api/data/{id} (work_done array),update_report,YES,YES,YES,NO,,PENDING,0,prizm_report_details (replace),"Mobile: EditScreen Step 2 pre-populated"
19,reports,Edit Next Activity Items,SUB,PUT,/api/reports_api/data/{id} (next_activities array),update_report,YES,YES,YES,NO,,PENDING,0,prizm_report_details (replace),"Mobile: EditScreen Step 3 pre-populated"
20,reports,Input Scope Description,CREATE,POST,/api/reports_api/data,add_report,YES,YES,YES,NO,,PENDING,0,prizm_report.scope_description,"Mobile: Step 1 multiline TextInput"
21,reports,Input Outstanding Issues,CREATE,POST,/api/reports_api/data,add_report,YES,YES,YES,NO,,PENDING,0,prizm_report.outstanding_issues,"Mobile: Step 4 multiline TextInput"
22,reports,Input Suggestions,CREATE,POST,/api/reports_api/data,add_report,YES,YES,YES,NO,,PENDING,0,prizm_report.suggestions,"Mobile: Step 4 multiline TextInput"
23,reports,Take Photo from Camera,UPLOAD,POST,/api/reports_api/images/{report_id},upload_image,NO,YES,YES,NO,,PENDING,0,prizm_report_images,"Mobile: expo-image-picker camera mode"
24,reports,Pick Photo from Gallery,UPLOAD,POST,/api/reports_api/images/{report_id},upload_image,NO,YES,YES,NO,,PENDING,0,prizm_report_images,"Mobile: expo-image-picker gallery mode"
25,reports,Photo Description Input,UPDATE,PUT,not available in API,update_image_description,NO,NO,NO,NO,,PENDING,0,prizm_report_images.work_image_descriptions,"Mobile: photo description field. API lacks update-image-description endpoint"
26,reports,Delete Existing Image (Web),DELETE,N/A,N/A,delete_image (file+DB),YES,NO,NO,NO,,PENDING,0,prizm_report_images,"Web: delete_image handles file unlink+DB. Mobile: separate endpoint"
27,reports,Report PDF Generation,EXPORT,GET,N/A,report_pdf($id),YES,NO,NO,NO,,PENDING,0,prizm_report+details+images,"Web: PDF export. No API/mobile equivalent"
28,reports,Duplicate Report Check,VALIDATE,POST,N/A (AJAX),check_report_today,YES,NO,NO,NO,,PENDING,0,prizm_report.project_id+created_by+report_date,"Web: AJAX duplicate check. No API/mobile equivalent"
29,reports,Load Milestones for Project,READ,GET,N/A,load_milestones($project_id),YES,NO,NO,NO,,PENDING,0,milestones,"Web: AJAX dropdown. No API/mobile equivalent"
30,reports,Load Tasks for Milestone,READ,GET,N/A,load_tasks($milestone_id,$project_id),YES,NO,NO,NO,,PENDING,0,tasks,"Web: AJAX dropdown with completion %. No API/mobile equivalent"
31,reports,Projects Cashflow List,READ,GET,N/A,projects_cashflow,NO,NO,NO,NO,,PENDING,0,projects,"Web: separate cashflow feature. Not relevant to mobile DPR"
32,reports,Pull-to-Refresh List,READ,GET,/api/reports_api/data,table (AJAX),YES,YES,YES,NO,,PENDING,0,prizm_report,"Mobile: RefreshControl on FlatList"
33,reports,View Creator Name (Resolved),READ,GET,/api/reports_api/data,update_report (view),YES,YES,YES,NO,,PENDING,0,staff.firstname+staff.lastname,"API resolves creator_name in JOIN. Mobile displays it"
34,reports,View Client Name (Resolved),READ,GET,/api/reports_api/data,report_pdf (PDF),YES,YES,YES,NO,,PENDING,0,clients.company,"API resolves client_name in JOIN. Mobile displays it"
